,job_name,norm_job_submit_time,ddl,A100,GTX2080Ti,V100,gpu_milli
0,openb-pod-2546,0,inf,3384.0,5901,8650,470
1,openb-pod-2915,0,inf,12466.0,23960,32787,810
2,openb-pod-2930,0,inf,1182.0,2303,3110,470
3,openb-pod-1541,0,inf,133432.0,256695,330275,810
4,openb-pod-2845,0,17804.0,6278.0,10435,15950,810
5,openb-pod-1696,0,inf,1094.0,1668,2697,470
6,openb-pod-2487,0,inf,5365.0,8563,13401,480
7,openb-pod-1393,0,inf,1080.0,1986,2675,460
8,openb-pod-2223,0,inf,1074.0,1904,2769,810
9,openb-pod-3283,0,inf,3299.0,5323,8216,460
10,openb-pod-3245,0,inf,25700.0,36765,62576,220
11,openb-pod-1901,0,inf,1213.0,2132,2989,470
12,openb-pod-1506,0,inf,1702.0,2394,4141,590
13,openb-pod-1857,0,inf,1180.0,1802,3000,230
14,openb-pod-3222,0,inf,1916.0,3807,4822,470
15,openb-pod-3357,0,inf,1421.0,2179,3435,650
16,openb-pod-2329,0,inf,1536.0,2830,3932,460
17,openb-pod-3368,0,inf,2939.0,5222,7588,470
18,openb-pod-1161,0,inf,2401.0,4317,6156,460
19,openb-pod-1575,0,inf,1209.0,1742,2928,810
20,openb-pod-1932,0,inf,44849.0,78945,111898,810
21,openb-pod-2044,0,inf,14192.0,20565,36804,220
22,openb-pod-2954,0,inf,1281.0,2495,3139,650
23,openb-pod-2982,0,inf,1072.0,1609,2690,810
24,openb-pod-2191,0,inf,22864.0,42077,59563,320
25,openb-pod-3312,0,inf,4963.0,7614,12401,470
26,openb-pod-1997,0,inf,3133.0,5935,7797,810
27,openb-pod-2816,0,inf,2377.0,3520,5958,650
28,openb-pod-1417,0,inf,3843.0,6901,10145,470
29,openb-pod-3099,0,inf,66163.0,126663,163569,460
30,openb-pod-1955,0,inf,17388.0,33615,42073,220
31,openb-pod-2614,0,inf,1598.0,2517,3870,650
32,openb-pod-1266,0,1452.0,1122.0,1973,2743,810
33,openb-pod-1188,0,inf,2300.0,4336,5653,470
34,openb-pod-3280,0,inf,2456.0,4357,5996,650
35,openb-pod-2704,0,inf,1130.0,2001,2730,650
36,openb-pod-2937,0,inf,8448.0,16766,20829,320
37,openb-pod-2814,0,inf,7026.0,12561,17429,470
38,openb-pod-2885,0,inf,1151.0,1987,2779,320
39,openb-pod-1302,0,inf,1772.0,2917,4527,650
40,openb-pod-1800,0,inf,2625.0,3794,6365,470
41,openb-pod-1369,0,3268.0,1200.0,1685,2934,460
42,openb-pod-1929,0,inf,1051.0,1819,2557,470
43,openb-pod-1513,0,inf,23299.0,35869,61865,320
44,openb-pod-1949,0,inf,1083.0,1572,2754,810
45,openb-pod-2724,0,22482.0,11677.0,22901,30856,220
46,openb-pod-2031,0,inf,1158.0,1625,3054,810
47,openb-pod-2597,0,inf,1144.0,2167,2969,590
48,openb-pod-2225,0,inf,49516.0,89556,120812,270
49,openb-pod-2494,0,13326.0,5091.0,7234,12330,320
50,openb-pod-2821,0,inf,4344.0,7406,11088,320
51,openb-pod-3051,0,inf,4505.0,7345,11296,320
52,openb-pod-1582,0,4089.0,1550.0,2306,3957,650
53,openb-pod-2757,0,inf,3614.0,6114,9596,110
54,openb-pod-2335,0,inf,2554.0,3597,6744,230
55,openb-pod-1320,0,inf,14927.0,23072,36390,810
56,openb-pod-3243,0,inf,3819.0,6686,9221,810
57,openb-pod-1109,0,inf,3221.0,5220,7808,320
58,openb-pod-2699,0,inf,5492.0,10715,14606,320
59,openb-pod-1814,0,inf,2427.0,4724,5988,160
60,openb-pod-2756,0,inf,12503.0,17920,32389,160
61,openb-pod-2025,0,inf,3238836.0,5000428,8105127,470
62,openb-pod-1116,0,inf,1781.0,3143,4695,470
63,openb-pod-1808,0,inf,2492.0,4975,6161,320
64,openb-pod-1434,0,inf,13064.0,20728,32142,470
65,openb-pod-2214,0,inf,4987.0,8223,13108,320
66,openb-pod-2524,0,inf,3770.0,5453,9844,470
67,openb-pod-2611,0,inf,5523.0,8836,14656,320
68,openb-pod-1478,0,inf,1177.0,1930,3019,480
69,openb-pod-2645,0,inf,1095.0,1758,2788,230
70,openb-pod-1231,0,5169.0,2113.0,3769,5302,470
71,openb-pod-3261,0,10738.0,3614.0,7028,8940,160
72,openb-pod-2718,0,inf,14993.0,24878,36789,460
73,openb-pod-1420,0,inf,1281.0,2051,3384,160
74,openb-pod-2753,0,inf,1022.0,1895,2573,650
75,openb-pod-1601,0,inf,1451.0,2360,3768,650
76,openb-pod-1887,0,inf,23097.0,33547,55907,320
77,openb-pod-3107,0,inf,2752.0,4879,6886,810
78,openb-pod-2854,0,inf,1128.0,2094,2985,810
79,openb-pod-2368,0,inf,2898.0,5751,7535,810
80,openb-pod-3195,0,inf,2067.0,4102,5297,650
81,openb-pod-3001,0,inf,2323.0,4366,5937,810
82,openb-pod-1974,0,inf,2708.0,5067,7187,650
83,openb-pod-1977,0,inf,2123.0,3030,5146,810
84,openb-pod-2092,0,inf,1645.0,2708,4056,650
85,openb-pod-3212,0,inf,187120.0,305283,455937,810
86,openb-pod-2722,0,inf,20410.0,35147,52355,320
87,openb-pod-2301,0,inf,13638.0,21078,36208,650
88,openb-pod-1493,0,11382.0,5491.0,10013,14016,320
89,openb-pod-2678,0,inf,5058.0,9439,12531,470
90,openb-pod-3395,0,inf,3189.0,4963,7660,160
91,openb-pod-2260,0,inf,48850.0,73096,118124,320
92,openb-pod-2889,0,inf,1050.0,1937,2562,320
93,openb-pod-1401,0,inf,1020.0,1488,2485,470
94,openb-pod-3292,0,inf,3772.0,5765,9766,470
95,openb-pod-2057,0,inf,9409.0,16282,23510,110
96,openb-pod-2410,0,inf,2146.0,4175,5178,810
97,openb-pod-2465,0,inf,3596.0,6769,9443,480
98,openb-pod-2551,0,inf,9896.0,13967,26202,810
99,openb-pod-2848,0,inf,8146.0,15122,20438,320
100,openb-pod-2717,0,inf,26641.0,49591,69585,320
101,openb-pod-2696,0,inf,10597.0,17207,27262,320
102,openb-pod-2662,0,inf,1086.0,1645,2773,810
103,openb-pod-2452,0,inf,7231.0,12626,19087,330
104,openb-pod-1252,0,inf,6427.0,9463,16815,320
105,openb-pod-2522,0,inf,2220.0,3332,5352,160
106,openb-pod-2667,0,inf,16521.0,30984,40056,320
107,openb-pod-1976,0,inf,1414.0,2187,3513,650
108,openb-pod-2254,0,inf,5583.0,11106,13987,320
109,openb-pod-1510,0,inf,1465.0,2683,3687,810
110,openb-pod-3012,0,inf,11842.0,17871,31461,470
111,openb-pod-1287,0,inf,5366.0,10471,13992,320
112,openb-pod-1902,0,inf,2175.0,3204,5259,160
113,openb-pod-2582,0,inf,8794.0,14346,21198,320
114,openb-pod-2008,0,inf,7365.0,10683,19548,320
115,openb-pod-1127,0,inf,1295.0,2509,3384,470
116,openb-pod-2266,0,inf,2849.0,4144,7203,650
117,openb-pod-2276,0,inf,70080.0,130194,169576,460
118,openb-pod-2124,0,inf,1517.0,2519,3806,470
119,openb-pod-3053,0,inf,7767.0,14124,19219,810
120,openb-pod-1689,0,8542.0,3095.0,5921,7835,810
121,openb-pod-3265,0,inf,1084.0,1690,2796,470
122,openb-pod-2181,0,inf,2638.0,5165,6767,460
123,openb-pod-1580,0,inf,1121.0,1647,2905,810
124,openb-pod-2921,0,inf,24015.0,38785,63495,160
125,openb-pod-3108,0,3533.0,2371.0,4258,6038,460
126,openb-pod-3301,0,inf,1001.0,1412,2640,320
127,openb-pod-1329,0,inf,13786.0,24903,33789,320
128,openb-pod-2489,0,inf,4110.0,5775,10197,650
129,openb-pod-1426,0,inf,7443.0,14147,18430,320
130,openb-pod-2640,0,inf,12674.0,22502,33108,230
131,openb-pod-2132,0,inf,1301.0,2289,3376,160
132,openb-pod-1721,0,inf,2249.0,3581,5630,230
133,openb-pod-2319,0,inf,11463.0,20121,28748,810
134,openb-pod-2553,0,inf,1135.0,1681,2978,810
135,openb-pod-1628,0,inf,5365.0,9022,13738,320
136,openb-pod-2176,0,inf,64498.0,108176,156246,460
137,openb-pod-2748,0,inf,1002.0,1911,2618,470
138,openb-pod-2623,0,inf,4328.0,7177,11455,460
139,openb-pod-2984,0,inf,1148.0,2011,3027,320
140,openb-pod-3208,0,inf,25860.0,45405,65725,460
141,openb-pod-1573,0,inf,1135.0,1850,2747,160
142,openb-pod-2632,0,inf,9389.0,16508,22578,470
143,openb-pod-1150,0,inf,1466.0,2270,3836,470
144,openb-pod-1766,0,inf,8353.0,14640,21898,470
145,openb-pod-2438,0,inf,5849.0,9850,14853,460
146,openb-pod-2762,0,inf,1220.0,1904,3220,230
147,openb-pod-1588,0,inf,1384.0,2347,3644,650
148,openb-pod-2642,0,inf,42576.0,67731,111663,810
149,openb-pod-1090,0,inf,17013.0,31721,43705,220
150,openb-pod-2595,0,inf,291826.0,568429,721466,460
151,openb-pod-2107,0,inf,10103.0,18458,26584,810
152,openb-pod-1881,0,26886.0,10422.0,15556,27386,810
153,openb-pod-3149,0,inf,4380.0,7123,11214,320
154,openb-pod-2521,0,inf,1859.0,3562,4687,650
155,openb-pod-2409,0,inf,7380.0,11408,17887,460
156,openb-pod-3188,0,inf,7765.0,15057,19418,320
157,openb-pod-3286,0,8224.0,3752.0,5482,9015,470
158,openb-pod-1828,0,inf,1113.0,1582,2795,470
159,openb-pod-2997,0,inf,12198.0,19370,29490,320
160,openb-pod-1191,0,inf,24014.0,45851,58531,160
161,openb-pod-2242,0,inf,2548.0,4080,6487,470
162,openb-pod-1597,0,inf,41740.0,79089,106073,160
