,job_name,norm_job_submit_time,ddl,A100,GTX2080Ti,V100,gpu_milli
0,openb-pod-7123,0,inf,136474.0,249983,338159,1000
1,openb-pod-3133,0,inf,18402.0,31585,46332,160
2,openb-pod-5308,0,inf,5563.0,7900,13888,1000
3,openb-pod-3853,0,inf,1016.0,1496,2610,1000
4,openb-pod-5923,0,inf,1578.0,2842,4193,1000
5,openb-pod-7927,0,inf,3270.0,5630,8441,1000
6,openb-pod-8019,0,inf,10168.0,17181,26648,1000
7,openb-pod-6634,0,inf,2179.0,3310,5325,1000
8,openb-pod-4018,0,inf,1407.0,2080,3490,1000
9,openb-pod-3619,0,inf,3760.0,5667,9532,1000
10,openb-pod-2627,0,inf,4554.0,6652,11978,220
11,openb-pod-4555,0,inf,4112.0,7226,10808,1000
12,openb-pod-6292,0,inf,874476.0,1362382,2237013,1000
13,openb-pod-6534,0,15131.0,6518.0,11225,15833,1000
14,openb-pod-6548,0,inf,36054.0,70351,88645,1000
15,openb-pod-5588,0,inf,1830.0,3248,4832,1000
16,openb-pod-5094,0,inf,1911.0,2869,4791,1000
17,openb-pod-4660,0,inf,2515.0,4573,6429,1000
18,openb-pod-5856,0,inf,2288.0,4087,5828,1000
19,openb-pod-7273,0,inf,2379.0,4421,5889,1000
20,openb-pod-4033,0,inf,4416.0,7909,10919,1000
21,openb-pod-2854,0,inf,1128.0,1990,2712,810
22,openb-pod-6171,0,inf,34061.0,65029,85312,1000
23,openb-pod-6386,0,inf,2038.0,2890,4931,1000
24,openb-pod-7194,0,inf,2729.0,5109,6607,1000
25,openb-pod-2950,0,inf,48212.0,86179,127569,160
26,openb-pod-7600,0,inf,2818.0,4935,6781,1000
27,openb-pod-6865,0,inf,3760.0,5820,9751,1000
28,openb-pod-3976,0,inf,1562.0,2465,3878,1000
29,openb-pod-3586,0,inf,1687.0,2362,4236,1000
30,openb-pod-2956,0,inf,1171.0,1821,2954,810
31,openb-pod-4441,0,inf,4027.0,6216,9804,1000
32,openb-pod-4765,0,inf,13705.0,20243,34368,1000
33,openb-pod-6676,0,inf,1237.0,2185,3053,1000
34,openb-pod-1167,0,inf,60796.0,90873,159680,810
35,openb-pod-5181,0,inf,3124.0,6080,8043,1000
36,openb-pod-5305,0,3137.0,1181.0,2147,3049,1000
37,openb-pod-5459,0,inf,2155.0,3631,5198,1000
38,openb-pod-7196,0,inf,1168.0,2221,2870,1000
39,openb-pod-6275,0,inf,2039802.0,3850595,5287531,1000
40,openb-pod-6209,0,inf,1336.0,2353,3286,1000
41,openb-pod-5057,0,inf,2039.0,3762,5102,1000
42,openb-pod-1393,0,inf,1080.0,2049,2674,460
43,openb-pod-6980,0,inf,6565.0,11249,16407,1000
44,openb-pod-3704,0,4379.0,3617.0,5624,9256,1000
45,openb-pod-4579,0,inf,2458.0,4195,6294,1000
46,openb-pod-7914,0,inf,95767.0,191206,233306,1000
47,openb-pod-4140,0,5161.0,2557.0,4507,6323,1000
48,openb-pod-7345,0,inf,4489.0,6843,10837,1000
49,openb-pod-5594,0,inf,3344.0,5955,8641,1000
50,openb-pod-4992,0,inf,11588.0,22485,29583,1000
51,openb-pod-6016,0,inf,9248.0,14874,24594,1000
52,openb-pod-2409,0,inf,7380.0,14386,18366,460
53,openb-pod-3460,0,inf,7191.0,13433,18613,1000
